,Title,Certificate,Episode_runtime,Genre,IMDb,Star1,Star2,Star3,Star4,Votes,Start_year,End_year,Series_runtime,New_cert
1048,Andromeda,NA,43,"Adventure, Drama, Action",6.6,Kevin Sorbo,Lisa Ryder,Laura Bertram,Gordon Michael Woolvett,12352,2000,2005.0,6.0,12
1049,Crossing Lines,NA,43,"Drama, Crime, Action",7.3,Tom Wlaschiha,Donald Sutherland,Lara Rossi,William Fichtner,12322,2013,2015.0,3.0,16
1050,The Andy Griffith Show,NA,30,"Family, Comedy",8.3,Andy Griffith,Ron Howard,Don Knotts,Frances Bavier,12321,1960,1968.0,9.0,TV-G
1051,Sa-rang-eui bul-sa-chak,16,70,"Romance, Comedy",8.7,Hyun Bin,Son Ye-Jin,Seo Ji-Hye,Kim Jung-Hyun,12293,2019,2020.0,2.0,12
1052,Troy: Fall of a City,NA,60,"Fantasy, Adventure, Action",3.8,Louis Hunter,Christiaan Schoombie,Bella Dayne,Chloe Pirrie,12285,2018,,,16
1053,Hot in Cleveland,NA,30,Comedy,7.3,Valerie Bertinelli,Jane Leeves,Wendie Malick,Betty White,12252,2010,2015.0,6.0,AL
1054,Arthur,NA,30,"Animation, Adventure, Comedy",7.3,J.T. Turner,Daniel Brochu,Melissa Altro,Arthur Holden,12252,1996,,,NA
1055,Better Things,NA,22,"Drama, Comedy",7.8,Pamela Adlon,Mikey Madison,Hannah Alligood,Olivia Edward,12240,2016,,,12
1056,Kureimoa,NA,24,"Animation, Adventure, Action",8.0,Todd Haberkorn,Stephanie Young,Houko Kuwashima,Cherami Leigh,12238,2007,2007.0,1.0,TV-MA
1057,Black Lagoon,18,25,"Animation, Adventure, Action",8.0,Megumi Toyoguchi,Daisuke Namikawa,Maryke Hendrikse,Brad Swaile,12207,2006,2006.0,1.0,12
1058,Tin Star,18,60,"Drama, Thriller, Crime",7.3,Tim Roth,Genevieve O'Reilly,Abigail Lawrie,Oliver Coopersmith,12192,2017,2020.0,4.0,16
1059,Britannia,NA,60,"Fantasy, Drama, Action",6.8,Gianni Calchetti,Mackenzie Crook,David Morrissey,Nikolaj Lie Kaas,12175,2017,,,16
1060,Dallas,NA,60,"Romance, Drama",7.0,Larry Hagman,Ken Kercheval,Patrick Duffy,Linda Gray,12174,1978,1991.0,14.0,NA
1061,Shaun the Sheep,NA,7,"Short, Animation, Comedy",8.2,Justin Fletcher,John Sparkes,Richard Webber,Kate Harbour,12158,2007,2020.0,14.0,TV-G
1062,Easy,18,30,Comedy,6.9,Michael Chernus,Jane Adams,Elizabeth Reaser,Jacqueline Toboni,12118,2016,,,12
1063,Las chicas del cable,18,50,Drama,7.6,Blanca Suárez,Yon González,Ana Fernández,Nadia de Santiago,12106,2017,2020.0,4.0,16
1064,Sesame Street,NA,55,"Animation, Adventure, Comedy",8.1,Jim Henson,Frank Oz,Caroll Spinney,Jerry Nelson,12081,1969,,,TV-Y
1065,Wonderfalls,NA,60,"Fantasy, Drama, Comedy",8.2,Caroline Dhavernas,Katie Finneran,Tyron Leitso,William Sadler,12075,2004,2004.0,1.0,TV-PG
1066,Mayans M.C.,15+,60,"Drama, Thriller, Crime",7.5,JD Pardo,Clayton Cardenas,Sarah Bolger,Michael Irby,12069,2018,,,16
1067,The Late Show with Stephen Colbert,NA,41,"Talk-Show, Comedy",7.2,Stephen Colbert,Jon Batiste,Stay Human,Jen Spyra,12038,2015,,,TV-PG
1068,The Crazy Ones,NA,20,Comedy,7.1,Robin Williams,Sarah Michelle Gellar,James Wolk,Hamish Linklater,12024,2013,2014.0,2.0,6
1069,V-Wars,18,60,"Drama, Horror, Sci-Fi",6.1,Ian Somerhalder,Adrian Holmes,Jacky Lai,Kyle Breitkopf,11986,2019,2019.0,1.0,16
1070,Siren,NA,60,"Fantasy, Drama",7.0,Alex Roe,Eline Powell,Fola Evans-Akingbola,Ian Verdun,11985,2018,2020.0,3.0,12
1071,Magic City,NA,50,"Drama, Crime",7.6,Jeffrey Dean Morgan,Olga Kurylenko,Steven Strait,Jessica Marais,11985,2012,2013.0,2.0,16
1072,Content Cop,NA,20,"Documentary, Crime, Comedy",8.9,Ian Carter,Calvin Vail,Bryan Le,Roman Atwood,11968,2015,,,TV-MA
1073,Major Crimes,NA,43,"Drama, Crime, Action",7.7,Mary McDonnell,G.W. Bailey,Tony Denison,Michael Paul Chan,11965,2012,2018.0,7.0,12
1074,Goosebumps,U,22,"Fantasy, Family, Horror",7.7,R.L. Stine,Kathryn Short,Cody Jones,Scott Wickware,11954,1995,1998.0,4.0,9
1075,The Vicar of Dibley,NA,60,Comedy,8.0,Dawn French,James Fleet,Trevor Peacock,Gary Waldhorn,11951,1994,2020.0,27.0,TV-PG
1076,Evil,13,42,"Drama, Crime, Horror",7.6,Katja Herbers,Mike Colter,Aasif Mandvi,Skylar Gray,11914,2019,,,16
1077,Clerks,R,22,"Animation, Comedy",7.4,Brian O'Halloran,Jeff Anderson,Jason Mewes,Kevin Smith,11907,2000,2001.0,2.0,R
1078,We Bare Bears,7,30,"Animation, Adventure, Comedy",7.9,Eric Edelstein,Demetri Martin,Bobby Moynihan,Keith Ferguson,11899,2014,2019.0,6.0,6
1079,Tiny Toon Adventures,NA,21,"Short, Animation, Adventure",7.5,Charlie Adler,John Kassir,Tress MacNeille,Joe Alaskey,11896,1990,1995.0,6.0,TV-G
1080,The Incredible Hulk,NA,60,"Adventure, Drama, Action",7.0,Bill Bixby,Lou Ferrigno,Jack Colvin,Charles Napier,11896,1977,1982.0,6.0,12
1081,The Glades,NA,60,"Drama, Crime, Action",7.5,Matt Passmore,Kiele Sanchez,Carlos Gómez,Jordan Wall,11892,2010,2013.0,4.0,12
1082,Outsourced,NA,30,Comedy,7.5,Ben Rappaport,Anisha Nagarajan,Diedrich Bader,Parvesh Cheena,11890,2010,2011.0,2.0,TV-14
1083,The Midnight Gospel,16,23,"Animation, Adventure, Comedy",8.3,Phil Hendrie,Duncan Trussell,Joey Diaz,Doug Lussenhop,11889,2020,,,16
1084,Mushishi,NA,25,"Fantasy, Animation, Drama",8.5,Yûto Nakano,Travis Willingham,Kôjun Itô,Jennifer Seman,11834,2005,2006.0,2.0,TV-14
1085,Angel Beats!,U,25,"Comedy, Animation, Action",7.7,Hiroshi Kamiya,Harumi Sakurai,Kana Hanazawa,Ryohei Kimura,11828,2010,2010.0,1.0,TV-14
1086,NYPD Blue,NA,45,"Mystery, Drama, Crime",7.6,Dennis Franz,Jimmy Smits,Gordon Clapp,James McDaniel,11828,1993,2005.0,13.0,12
1087,The Mask,NA,30,"Animation, Adventure, Action",7.0,Rob Paulsen,Frank Welker,Jim Cummings,Neil Ross,11825,1995,1997.0,3.0,AL
1088,Marianne,15,50,"Drama, Horror",7.5,Victoire Du Bois,Lucie Boujenah,Tiphaine Daviot,Ralph Amoussou,11814,2019,2019.0,1.0,16
1089,Becker,NA,30,Comedy,7.2,Ted Danson,Hattie Winston,Terry Farrell,Shawnee Smith,11808,1998,2004.0,7.0,9
1090,Emerald City,NA,60,"Fantasy, Adventure, Drama",7.2,Adria Arjona,Oliver Jackson-Cohen,Ana Ularu,Gerran Howell,11803,2016,2017.0,2.0,TV-14
1091,Bottom,NA,30,Comedy,8.2,Adrian Edmondson,Rik Mayall,Steven O'Donnell,Christopher Ryan,11793,1991,1995.0,5.0,NA
1092,Suburra - La serie,18,50,"Crime, Action",7.9,Alessandro Borghi,Giacomo Ferrara,Filippo Nigro,Carlotta Antonelli,11769,2017,2020.0,4.0,16
1093,Invasion,NA,60,"Mystery, Drama, Horror",7.5,William Fichtner,Eddie Cibrian,Kari Matchett,Lisa Sheridan,11754,2005,2006.0,2.0,12
1094,Selfie,NA,22,"Romance, Comedy",7.2,Karen Gillan,John Cho,Allyn Rachel,Da'Vine Joy Randolph,11745,2014,2014.0,1.0,TV-14
1095,Sseulsseulhago Chalranhashin: Dokkaebi,16,60,"Fantasy, Drama, Comedy",8.6,Gong Yoo,Kim Go-eun,Lee Dong-Wook,Yoo In-Na,11738,2016,2017.0,2.0,TV-14
1096,Chowder,NA,11,"Short, Animation, Adventure",7.3,Nicky Jones,Dwight Schultz,John DiMaggio,Tara Strong,11726,2007,2010.0,4.0,6
1097,Breathe: Into the Shadows,16,46,"Drama, Thriller",7.6,Abhishek Bachchan,Nithya Menen,Amit Sadh,Ivana Kaur,11720,2020,,,NA
1098,Inside Amy Schumer,NA,22,Comedy,6.0,Amy Schumer,Kevin Kane,Kyle Dunnigan,Kim Caramele,11718,2013,2016.0,4.0,AL
1099,Nightflyers,18,60,"Mystery, Drama, Horror",5.9,Eoin Macken,David Ajala,Jodie Turner-Smith,Angus Sampson,11691,2018,2018.0,1.0,16
1100,The New Adventures of Old Christine,NA,22,Comedy,7.1,Julia Louis-Dreyfus,Clark Gregg,Hamish Linklater,Trevor Gagnon,11687,2006,2010.0,5.0,TV-PG
1101,Jeeves and Wooster,NA,55,Comedy,8.4,Stephen Fry,Hugh Laurie,Richard Dixon,Robert Daws,11687,1990,1993.0,4.0,TV-PG
1102,Sailor Moon,NA,24,"Animation, Adventure, Action",7.6,Susan Roman,Jill Frappier,Katie Griffin,Ron Rubin,11674,1995,2000.0,6.0,AL
1103,Ask-i Memnu,NA,90,"Romance, Drama",7.4,Beren Saat,Kivanç Tatlitug,Nebahat Çehre,Hazal Kaya,11651,2008,2010.0,3.0,TV-PG
1104,Second Chance,NA,42,"Drama, Sci-Fi",7.5,Robert Kazinsky,Dilshad Vadsaria,Adhir Kalyan,Ciara Bravo,11634,2016,2016.0,1.0,12
1105,Hello Ladies,NA,29,Comedy,7.4,Stephen Merchant,Christine Woods,Nate Torrence,Kevin Weisman,11617,2013,2014.0,2.0,AL
1106,Taxi,NA,30,Comedy,7.6,Judd Hirsch,Jeff Conaway,Danny DeVito,Marilu Henner,11616,1978,1983.0,6.0,16
1107,Homicide: Life on the Street,NA,60,"Mystery, Drama, Crime",8.5,Richard Belzer,Clark Johnson,Yaphet Kotto,Kyle Secor,11559,1993,1999.0,7.0,TV-14
1108,The Dukes of Hazzard,NA,60,"Comedy, Action",7.1,Tom Wopat,John Schneider,Catherine Bach,Denver Pyle,11532,1979,1985.0,7.0,6
1109,The Voice,NA,60,"Reality-TV, Game-Show, Music",6.5,Blake Shelton,Carson Daly,Adam Levine,Christina Aguilera,11530,2011,,,NA
1110,Shake It Up,NA,30,"Family, Comedy",4.9,Bella Thorne,Zendaya,Davis Cleveland,Roshon Fegan,11521,2010,2013.0,4.0,AL
1111,Degrassi: The Next Generation,NA,30,"Romance, Drama",7.3,Stefan Brogren,Aislinn Paul,Melinda Shankar,A.J. Saudin,11503,2001,2015.0,15.0,TV-PG
1112,Yu yu hakusho,U,24,"Animation, Adventure, Action",8.5,Nozomu Sasaki,Justin Cook,Christopher Sabat,Cynthia Cranz,11502,1992,1995.0,4.0,TV-PG
1113,Who's the Boss?,NA,30,"Romance, Family, Comedy",6.5,Tony Danza,Judith Light,Alyssa Milano,Danny Pintauro,11496,1984,1992.0,9.0,AL
1114,Patriot,18,58,"Drama, Thriller, Comedy",8.3,Michael Dorman,Kurtwood Smith,Michael Chernus,Kathleen Munroe,11490,2015,2018.0,4.0,18
1115,The Marvelous Misadventures of Flapjack,NA,11,"Short, Animation, Adventure",7.8,Brian Doyle-Murray,Thurop Van Orman,Jeff Bennett,Steve Little,11470,2008,2010.0,3.0,TV-Y7-FV
1116,The Returned,NA,42,"Fantasy, Drama, Horror",7.1,Kevin Alejandro,Agnes Bruckner,India Ennenga,Sandrine Holt,11469,2015,2015.0,1.0,16
1117,Dirty Sexy Money,NA,45,Drama,7.2,Peter Krause,Donald Sutherland,William Baldwin,Natalie Zea,11456,2007,2009.0,3.0,6
1118,Penn & Teller: Bullshit!,NA,30,"Documentary, Comedy",8.1,Penn Jillette,Teller,Shera Pollins,Gene Hatcher,11432,2003,2010.0,8.0,NA
1119,The Outer Limits,NA,44,"Fantasy, Drama, Horror",7.7,Kevin Conway,Alex Diakun,Eric Schneider,Garvin Cross,11425,1995,2002.0,8.0,16
1120,Quarry,NA,60,"Drama, Thriller, Crime",8.1,Logan Marshall-Green,Jodi Balfour,Damon Herriman,Edoardo Ballerini,11409,2016,2016.0,1.0,16
1121,Slasher,NA,60,"Drama, Crime, Horror",6.7,Dean McDermott,Joanne Vannicola,Paula Brancati,Christopher Jacot,11388,2016,,,16
1122,Why Women Kill,16,50.0,"Drama, Crime, Comedy",8.4,Lucy Liu,Ginnifer Goodwin,Kirby Howell-Baptiste,Alexandra Daddario,11387,2019,,,12
1123,Once Upon a Time in Wonderland,NA,42,"Fantasy, Adventure, Drama",7.0,Sophie Lowe,Michael Socha,Peter Gadiot,Emma Rigby,11382,2013,2014.0,2.0,16
1124,Masters of Horror,NA,60,Horror,7.5,Karen Elizabeth Austin,J. Winston Carroll,Miho Ninagawa,Anthony Harrison,11381,2005,2007.0,3.0,16
1125,Stitchers,NA,60,"Drama, Crime, Sci-Fi",6.9,Emma Ishta,Kyle Harris,Ritesh Rajan,Salli Richardson-Whitfield,11376,2015,2017.0,3.0,12
1126,Hinterland,16,90,"Mystery, Drama, Crime",7.6,Richard Harrington,Mali Harries,Alex Harries,Hannah Daniel,11337,2013,2016.0,4.0,12
1127,Whitechapel,NA,180,"Mystery, Thriller, Crime",7.9,Rupert Penry-Jones,Phil Davis,Steve Pemberton,Sam Stockman,11332,2009,2013.0,5.0,12
1128,Early Edition,NA,41,"Adventure, Drama, Comedy",7.5,Kyle Chandler,Shanesia Davis,Fisher Stevens,Billie Worley,11279,1996,2000.0,5.0,6
1129,"Sister, Sister",NA,30,"Family, Drama, Comedy",6.2,Tia Mowry-Hardrict,Tamera Mowry-Housley,Jackée Harry,Tim Reid,11278,1994,1999.0,6.0,TV-G
1130,Anazâ,18,300,"Animation, Drama, Horror",7.6,Atsushi Abe,Natsumi Takamori,Tomoaki Maeno,Greg Ayres,11257,2012,2012.0,1.0,TV-MA
1131,The Royals,NA,42,Drama,7.5,Joan Collins,William Moseley,Alexandra Park,Jake Maskall,11223,2015,2018.0,4.0,12
1132,Aquarius,18,42,"Biography, Drama, Crime",7.1,David Duchovny,Grey Damon,Gethin Anthony,Emma Dumont,11203,2015,2016.0,2.0,16
1133,Kitchen Nightmares,NA,60,Reality-TV,7.5,Gordon Ramsay,Arthur Smith,Kim Seeley,Michael Cabbibo,11171,2007,2014.0,8.0,6
1134,Shetland,18,60,"Mystery, Drama, Crime",8.1,Douglas Henshall,Alison O'Donnell,Steven Robertson,Erin Armstrong,11166,2013,,,12
1135,Haikyuu!!,13,24,"Animation, Drama, Comedy",8.7,Ayumu Murase,Kaito Ishikawa,Yu Hayashi,Satoshi Hino,11149,2014,2020.0,7.0,6
1136,Six,NA,60,"History, Drama, Action",7.3,Barry Sloane,Kyle Schmid,Juan Pablo Raba,Edwin Hodge,11146,2017,2018.0,2.0,16
1137,Tokyo Ghoul: Root A,NA,24,"Animation, Drama, Action",7.7,Brina Palencia,Michelle Rojas,Austin Tindle,Morgan Laure,11142,2015,2015.0,1.0,TV-MA
1138,Green Wing,NA,65,"Drama, Comedy",8.3,Sally Bretton,Oliver Chris,Olivia Colman,Michelle Gomez,11135,2004,2007.0,4.0,TV-14
1139,Sôru îtâ,NA,24,"Animation, Adventure, Action",7.8,Laura Bailey,Chiaki Omigawa,Micah Solusod,Brittney Karbowski,11125,2008,2009.0,2.0,TV-14
1140,Shark,NA,60,"Mystery, Drama, Crime",7.1,James Woods,Danielle Panabaker,Sophina Brown,Sarah Carter,11123,2006,2008.0,3.0,6
1141,Comedians in Cars Getting Coffee,NA,20,"Talk-Show, Comedy",8.1,Jerry Seinfeld,Michael Richards,Mario Joyner,Jimmy Fallon,11083,2012,,,AL
1142,Detectorists,NA,30,Comedy,8.6,Mackenzie Crook,Toby Jones,Rachael Stirling,Gerard Horan,11072,2014,2017.0,4.0,TV-14
1143,Melrose Place,NA,60,"Romance, Drama",5.8,Heather Locklear,Andrew Shue,Courtney Thorne-Smith,Thomas Calabro,11070,1992,1999.0,8.0,6
1144,Noragami,NA,24,"Animation, Adventure, Action",7.9,Hiroshi Kamiya,Maaya Uchida,Yûki Kaji,Bryn Apprill,11060,2014,2016.0,3.0,TV-14
1145,Kiru ra kiru: KILL la KILL,NA,25,"Comedy, Animation, Action",7.9,Ami Koshimizu,Aya Suzaki,Toshihiko Seki,Shin'ichirô Miki,11039,2013,2014.0,2.0,TV-14
1146,I May Destroy You,18,30,Drama,8.1,Michaela Coel,Weruche Opia,Paapa Essiedu,Stephen Wight,11010,2020,,,TV-MA
1147,Ao no ekusoshisuto,NA,30,"Animation, Drama, Action",7.5,Nobuhiko Okamoto,Bryce Papenbrook,Jun Fukuyama,Johnny Yong Bosch,11005,2011,2012.0,2.0,6
1148,Darker Than Black: Kuro no keiyakusha,NA,24,"Animation, Drama, Action",7.8,Jason Liebrecht,Kate Oxley,Christopher Sabat,Brina Palencia,10999,2007,2010.0,4.0,TV-MA
1149,Get Smart,NA,25,"Comedy, Adventure, Action",8.2,Don Adams,Barbara Feldon,Edward Platt,Robert Karvelas,10995,1965,1970.0,6.0,6
1150,Rasbhari,18,22,"Romance, Drama",2.8,Swara Bhaskar,Ayushmaan Saxena,Rashmi Agdekar,Pradhuman Singh,10982,2019,,,NA
1151,The Client List,NA,42,"Drama, Crime",6.6,Jennifer Love Hewitt,Loretta Devine,Colin Egglesfield,Cybill Shepherd,10971,2011,2013.0,3.0,12
1152,21 Jump Street,NA,60,"Mystery, Drama, Crime",7.3,Johnny Depp,Dustin Nguyen,Peter DeLuise,Holly Robinson Peete,10966,1987,1991.0,5.0,12
1153,The Night Shift,NA,42,"Romance, Drama",7.4,Eoin Macken,Jill Flint,Brendan Fehr,Robert Bailey Jr.,10956,2014,2017.0,4.0,12
1154,Meitantei Conan,NA,25,"Animation, Adventure, Action",8.4,Minami Takayama,Wakana Yamazaki,Hoang Khuyet,Akira Kamiya,10952,1996,,,TV-14
1155,Justice League Unlimited,NA,23,"Animation, Adventure, Action",8.7,George Newbern,Kevin Conroy,Phil LaMarr,Carl Lumbly,10934,2004,2006.0,3.0,TV-Y7-FV
1156,The Hills,NA,30,"Reality-TV, Drama",3.6,Audrina Patridge,Heidi Montag,Lauren Conrad,Spencer Pratt,10930,2006,2010.0,5.0,AL
1157,Gakuen mokushiroku: HIGHSCHOOL OF THE DEAD,NA,24,"Animation, Drama, Action",7.2,Jun'ichi Suwabe,Eri Kitamura,Nobuyuki Hiyama,Hitomi Harada,10914,2010,2010.0,1.0,TV-MA
1158,The New Normal,NA,30,"Romance, Comedy",6.9,Justin Bartha,Andrew Rannells,Georgia King,Bebe Wood,10894,2012,2013.0,2.0,TV-14
1159,Star vs. the Forces of Evil,NA,22,"Animation, Adventure, Action",8.0,Eden Sher,Adam McArthur,Grey Griffin,Daron Nefcy,10887,2015,2019.0,5.0,6
1160,Undercover,18,50,"Drama, Thriller, Crime",7.9,Tom Waes,Frank Lammers,Manou Kersting,Anna Drijver,10885,2019,,,16
1161,Zoey's Extraordinary Playlist,16,60,"Musical, Drama, Comedy",8.2,Jane Levy,Skylar Astin,Alex Newell,John Clarence Stewart,10878,2020,,,AL
1162,Charlie's Angels,NA,60,"Adventure, Crime, Action",6.5,Kate Jackson,Farrah Fawcett,Jaclyn Smith,David Doyle,10846,1976,1981.0,6.0,12
1163,The Bletchley Circle,NA,45,"Mystery, Drama, Crime",7.9,Rachael Stirling,Julie Graham,Sophie Rundle,Anna Maxwell Martin,10821,2012,2014.0,3.0,16
1164,Condor,NA,60,"Drama, Thriller, Action",7.7,Max Irons,Kristen Hager,Bob Balaban,Sam McCarthy,10819,2018,,,16
1165,Wings,NA,30,"Drama, Comedy",7.2,Tim Daly,Steven Weber,Crystal Bernard,David Schramm,10805,1990,1997.0,8.0,NA
1166,Lewis,NA,90,"Mystery, Drama, Crime",8.0,Kevin Whately,Laurence Fox,Clare Holman,Rebecca Front,10773,2006,2015.0,10.0,NA
1167,Dash & Lily,12+,,"Romance, Drama, Comedy",7.5,Austin Abrams,Midori Francis,Dante Brown,Troy Iwata,10768,2020,,,NA
1168,Imposters,NA,41,"Drama, Crime, Comedy",7.8,Inbar Lavi,Rob Heaps,Parker Young,Marianne Rendón,10762,2017,,,TV-14
1169,Sonny with a Chance,NA,23,"Romance, Family, Comedy",6.1,Demi Lovato,Tiffany Thornton,Sterling Knight,Brandon Mychal Smith,10757,2009,2011.0,3.0,TV-G
1170,Atlantis,NA,45,"Fantasy, Adventure, Drama",6.6,Mark Addy,Jack Donnelly,Robert Emms,Aiysha Hart,10739,2013,2015.0,3.0,AL
1171,Blood of Zeus,18,30,"Fantasy, Animation, Action",7.6,Derek Phillips,Jason O'Mara,Jessica Henwick,Claudia Christian,10726,2020,,,16
1172,"Tim and Eric Awesome Show, Great Job!",NA,11,"Comedy, Music",7.5,Tim Heidecker,Eric Wareheim,Bob Odenkirk,John C. Reilly,10674,2007,2017.0,11.0,TV-14
1173,Re: Zero kara hajimeru isekai seikatsu,16,24,"Animation, Drama, Adventure",8.1,Yûsuke Kobayashi,Rie Takahashi,Sean Chiplock,Rie Murakawa,10672,2016,,,TV-14
1174,Night Court,NA,30,Comedy,7.6,Harry Anderson,John Larroquette,Richard Moll,Charles Robinson,10665,1984,1992.0,9.0,TV-PG
1175,On My Block,18,30,Comedy,8.0,Sierra Capri,Jason Genao,Brett Gray,Diego Tinoco,10658,2018,,,16
1176,V,NA,60,"Adventure, Action, Sci-Fi",7.4,Marc Singer,Faye Grant,Michael Ironside,Jane Badler,10643,1984,1985.0,2.0,NA
1177,Captain Planet and the Planeteers,NA,23,"Animation, Adventure, Action",6.7,David Coburn,Joey Dedio,Kath Soucie,LeVar Burton,10632,1990,1996.0,7.0,TV-Y7
1178,The Return of Sherlock Holmes,NA,60,"Mystery, Drama, Crime",8.7,Jeremy Brett,Edward Hardwicke,Rosalie Williams,Colin Jeavons,10624,1986,1988.0,3.0,TV-PG
1179,Murdoch Mysteries,NA,48,"Mystery, Drama, Crime",8.1,Yannick Bisson,Helene Joy,Thomas Craig,Jonny Harris,10609,2008,,,16
1180,Bad Education,NA,30,Comedy,7.4,Jack Binstead,Mathew Horne,Ethan Lawrence,Kae Alexander,10608,2012,2014.0,3.0,TV-14
1181,"Harvey Birdman, Attorney at Law",NA,15,"Animation, Comedy, Sci-Fi",8.0,Gary Cole,Stephen Colbert,Thomas Allen,John Michael Higgins,10595,2000,2007.0,8.0,TV-MA
1182,Code Black,NA,42,Drama,8.1,Marcia Gay Harden,Harry Ford,Benjamin Hollingsworth,Luis Guzmán,10567,2015,2018.0,4.0,16
1183,The Passage,NA,60,"Adventure, Drama, Action",7.3,Mark-Paul Gosselaar,Saniyya Sidney,Jamie McShane,Caroline Chikezie,10554,2019,2019.0,1.0,TV-14
1184,The Spectacular Spider-Man,NA,23,"Animation, Adventure, Action",8.2,Josh Keaton,Lacey Chabert,Joshua LeBar,Grey Griffin,10554,2008,2009.0,2.0,6
1185,Strike,15+,60,"Mystery, Drama, Crime",7.9,Tom Burke,Holliday Grainger,Kerr Logan,Killian Scott,10543,2017,,,16
1186,Secrets and Lies,NA,43,"Drama, Crime",7.6,Ryan Phillippe,Juliette Lewis,KaDee Strickland,Natalie Martinez,10540,2015,2016.0,2.0,AL
1187,X-Men: Evolution,NA,23,"Animation, Drama, Action",7.9,Scott McNeil,Meghan Black,Christopher Judge,Kirby Morrow,10535,2000,2003.0,4.0,TV-Y7
1188,The Paradise,NA,60,Drama,7.7,Joanna Vanderham,Emun Elliott,Stephen Wight,Sonya Cassidy,10524,2012,2013.0,2.0,12
1189,Hand of God,18,60,"Drama, Crime",7.5,Garret Dillahunt,Emayatzy Corinealdi,Julian Acosta,Ron Perlman,10509,2014,2017.0,4.0,12
1190,FBI,16,60,"Drama, Crime, Action",6.8,Missy Peregrym,Zeeko Zaki,Jeremy Sisto,Ebonee Noel,10508,2018,,,12
1191,Bicchoo Ka Khel,UA,22,"Thriller, Crime",8.7,Divyendu Sharma,Anshul Chauhan,Syed Zeeshan Qadri,Mukul Chadda,10498,2020,,,NA
1192,Baccano!,NA,384,"Animation, Adventure, Action",8.3,Michael C. Pizzuto,J. Michael Tatum,Caitlin Glass,Akemi Kanda,10463,2007,2008.0,2.0,TV-MA
1193,Felicity,NA,60,"Romance, Drama",6.8,Keri Russell,Scott Speedman,Scott Foley,Tangi Miller,10451,1998,2002.0,5.0,NA
1194,Aaahh!!! Real Monsters,NA,30,"Horror, Animation, Family",7.2,Charlie Adler,Christine Cavanaugh,David Eccles,Gregg Berger,10451,1994,1997.0,4.0,TV-Y
1195,Spinning Out,18,48,"Sport, Drama",7.6,Kaya Scodelario,January Jones,Willow Shields,Evan Roderick,10428,2020,2020.0,1.0,12
1196,Dogs of Berlin,18,542,"Drama, Crime, Action",7.6,Felix Kramer,Fahri Yardim,Samy Abdel Fattah,Mohamed Issa,10398,2018,,,16
1197,Toradora!,16,24,"Animation, Drama, Comedy",8.0,Rie Kugimiya,Junji Majima,Yui Horie,Hirofumi Nojima,10394,2008,2009.0,2.0,TV-14
1198,Workin' Moms,18,30,Comedy,7.6,Catherine Reitman,Dani Kind,Juno Rinaldi,Philip Sternberg,10383,2017,,,16
1199,The Late Late Show with Craig Ferguson,NA,40,"Talk-Show, Comedy, Music",8.3,Craig Ferguson,Shadoe Stevens,Josh Robert Thompson,Joseph Bolter,10374,2005,2015.0,11.0,TV-14
1200,Flaked,NA,30,"Drama, Comedy",7.2,Will Arnett,David Sullivan,Ruth Kearney,George Basil,10370,2016,,,12
1201,Ultimate Spider-Man,PG,23,"Animation, Adventure, Action",7.1,Drake Bell,Ogie Banks,Chi McBride,Logan Miller,10356,2012,2017.0,6.0,TV-Y7
1202,The Catch,NA,43,"Romance, Drama, Crime",7.2,Mireille Enos,Peter Krause,Jay Hayden,Rose Rollins,10352,2016,2017.0,2.0,12
1203,Home for Christmas,18,29,"Romance, Drama, Comedy",7.7,Ida Elise Broch,Gabrielle Leithaug,Hege Schøyen,Dennis Storhøi,10339,2019,2020.0,2.0,12
1204,The Whispers,NA,60,"Mystery, Drama, Horror",7.2,Lily Rabe,Barry Sloane,Milo Ventimiglia,Derek Webster,10338,2015,2015.0,1.0,TV-14
1205,Snowfall,18,44,"Drama, Crime",8.1,Damson Idris,Carter Hudson,Isaiah John,Amin Joseph,10333,2017,,,16
1206,The Graham Norton Show,NA,60,"Talk-Show, Comedy, Music",8.4,Graham Norton,Ricky Gervais,Judi Dench,Jack Whitehall,10314,2007,,,TV-14
1207,In Plain Sight,NA,60,"Mystery, Drama, Crime",7.3,Mary McCormack,Frederick Weller,Paul Ben-Victor,Nichole Hiltz,10268,2008,2012.0,5.0,12
1208,BrainDead,NA,44,"Horror, Drama, Comedy",8.1,Mary Elizabeth Winstead,Danny Pino,Aaron Tveit,Tony Shalhoub,10254,2016,2016.0,1.0,16
1209,Mr. Bean: The Animated Series,NA,11,"Family, Animation, Comedy",6.8,Rowan Atkinson,Jon Glover,Sally Grace,Gary Martin,10243,2002,2019.0,18.0,AL
1210,Duck Dynasty,NA,60,"Reality-TV, Comedy",6.3,Jase Robertson,Si Robertson,Willie Robertson,Korie Robertson,10239,2012,2017.0,6.0,9
1211,Baskets,NA,30,"Drama, Comedy",7.6,Zach Galifianakis,Martha Kelly,Louie Anderson,Alex Morris,10235,2016,2019.0,4.0,AL
1212,George Lopez,NA,30,"Drama, Comedy",6.7,George Lopez,Constance Marie,Luis Armand Garcia,Valente Rodriguez,10225,2002,2007.0,6.0,TV-PG
1213,CSI: Cyber,NA,44,"Mystery, Drama, Crime",5.5,Patricia Arquette,James Van Der Beek,Shad Moss,Charley Koontz,10219,2015,2016.0,2.0,12
